epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1395.53,0.82299,0.68335,0.96165,0.82063,0.79349,0.84524,0.66069,1.02333,5.80039,1.07127,0.0011882,0.0011882,0.0011882
43,1429.33,0.81087,0.67501,0.94957,0.823,0.788,0.8413,0.66322,1.02719,6.77216,1.08168,0.0011684,0.0011684,0.0011684
44,1463.15,0.79938,0.66149,0.94636,0.82291,0.79676,0.84252,0.66447,1.01863,5.80671,1.07341,0.0011486,0.0011486,0.0011486
45,1496.99,0.81101,0.67052,0.95188,0.81348,0.80263,0.84869,0.66989,1.01303,5.37049,1.07294,0.0011288,0.0011288,0.0011288
46,1531.11,0.80546,0.65752,0.94705,0.82842,0.79172,0.8442,0.66244,1.02193,5.57864,1.07257,0.001109,0.001109,0.001109
47,1564.89,0.83308,0.67333,0.95997,0.8307,0.78568,0.84972,0.66158,1.04389,5.77604,1.08077,0.0010892,0.0010892,0.0010892
48,1598.68,0.80675,0.67219,0.95288,0.82612,0.7905,0.84324,0.65905,1.02986,5.80396,1.08181,0.0010694,0.0010694,0.0010694
49,1632.25,0.79564,0.6587,0.95019,0.827,0.78335,0.84533,0.65956,1.01487,4.52187,1.07165,0.0010496,0.0010496,0.0010496
50,1665.96,0.79888,0.65273,0.94379,0.81816,0.79685,0.84654,0.66481,1.00596,5.29801,1.07538,0.0010298,0.0010298,0.0010298
51,1699.74,0.80388,0.66662,0.952,0.81952,0.79914,0.85258,0.66026,1.04912,5.033,1.07698,0.00101,0.00101,0.00101
52,1733.6,0.81198,0.66222,0.95148,0.81868,0.78917,0.84322,0.65793,1.03271,5.12116,1.08286,0.0009902,0.0009902,0.0009902
53,1767.13,0.80359,0.66199,0.94962,0.81122,0.80263,0.84941,0.66306,1.03308,4.55373,1.0787,0.0009704,0.0009704,0.0009704
54,1801.2,0.80585,0.66049,0.94715,0.82285,0.80063,0.85099,0.66959,0.9969,4.69338,1.06785,0.0009506,0.0009506,0.0009506
55,1834.97,0.81484,0.6667,0.95196,0.8104,0.81098,0.85357,0.66974,1.02126,5.58803,1.06872,0.0009308,0.0009308,0.0009308
56,1868.95,0.81968,0.66908,0.95908,0.81273,0.8101,0.85134,0.65662,1.04056,5.13247,1.07426,0.000911,0.000911,0.000911
57,1902.75,0.78193,0.64681,0.94109,0.81187,0.80588,0.85097,0.67527,0.99462,5.48652,1.06756,0.0008912,0.0008912,0.0008912
58,1936.36,0.78468,0.65175,0.94694,0.83058,0.79332,0.85006,0.65969,1.016,4.57834,1.06856,0.0008714,0.0008714,0.0008714
